v1,v2
ns,Comment in addNodesWizardInit.js.
ns,HTML being spewed in the Review+Deploy page.
ns,Change the status message (success/error) location so that it shows below the page summary box  rather than above  more better visibility
ns,/etc/hbase/conf/regionserver should correctly populate the slaves list
ns,Upgrade to yui-3.5.1
ns,Externalize message resources for the welcome page.  Update styles on various pages.
ns,Uninstall's wipe flag should be correctly passed to puppet
ns,Grid mount points page doesn't let one pass with only a custom mount point
ns,Scale puppet master to large number of nodes.
ns,During any process in the cluster initialization wizard  if the user goes back to the '1 Create Cluster' tab  the user is stuck.
ns,Host level dependencies are being set in running stage as well  which is redundant. It can be assumed that dependencies were installed at install stage.
ns,Currently when the browser is closed one cannot view the install in progress. They will have to look at the logs on the hmc machine to figure out whats going on. It would be nice if we can provide a way to get back to the install progress.
ns,Artifacts (such as mysql-connector.zip  hive.tar.gz  pig.tar.gz  ext.zip) are being downloaded even though they are previously installed leading to additional execution time.
ns,Cluster status should be updated in db for each stage of the installation wizard. This is used to enable restart of browser and also showing status of the cluster on the index page.
ns,If the currentStage is null  we should not proceed with a transition.
ns,Logs disappear post uninstall because the transaction is also cleaned from the db.
ns,If no cluster has been set up yet  redirect to the welcome page.If a cluster is being configured (but has not gone thru deployment)  redirect to Step 1 of the cluster init wizard.If a cluster is being deployed  redirect to the deployment progress page.If a cluster has gone thru deployment but failed  redirect to the re-install page.If a cluster has gone thru deployment and succeed  do not perform any forced redirect.
ns,Redesign master service assignment page so that it takes up less vertical space
ns,Lock file is being created as part of create cluster. This is brittle and needs to be done as part of the rpm install.
ns,The new fonts/ subdirectory used for the buttons on the ManageServices page isn't packaged up.
ns,Improve Service Management page and general popup styling
ns,Mysql packages not being sent during install and uninstall.
ns,Uninstall does not handle component dependencies.
ns,Use lower count of maps/reduce slots for a single node install.
ns,ZooKeeper myid files not existent on ZK install.
ns,Host not found in db error on assign nodes page
ns,Cannot uninstall - the page hangs with the spinning icon
ns,Manual config changes for nn get reset on stop/start from hmc
ns,Completing successful add node takes one to initialize cluster page starting from scratch
ns,Unify the top nav for both Monitoring and Cluster Management
ns,Add rpm spec for hmc agent.
ns,Reset service back to original state after reconfiguration
ns,Improve style on error log popups
ns,According to Bikas:I tried to install a single node cluster. That failed for some random issue.I was presented an option to reinstall.I clicked on that option and it asked me to uninstall.I chose uninstall and wipe data option.Uninstall failed.This happened because the install did not complete in the first place.Thu May 24 17:45:28 -0400 2012 /Stage17/Hdp-oozie::Service/Hdp-oozie::Service::Createsymlinks/usr/lib/oozie/oozie-server/lib/mapred-site.xml/File/usr/lib/oozie/oozie-server/lib/mapred-site.xml/ensure (err): change from absent to present failed: Could not set 'present on ensure: No such file or directory - /usr/lib/oozie/oozie-server/lib/mapred-site.xml at /etc/puppet/agent/modules/hdp-oozie/manifests/service.pp:61
ns,Fix bug with jmx parsing on HBase.
ns,Using service stop instead of killall for uninstall
ns,This is to enable the routing layer to redirect appropriately.
ns,Duplicate definition: Class&#91;Hdp-hbase::Regionserver::Enable-ganglia&#93; is already defined; cannot redefine at /etc/puppet/agent/modules/hdp-ganglia/manifests/monitor.pp:37 on node ip-10-64-19-248.ec2.internal
ns,Install a cluster. Then go to http://&lt;host&gt;/hmc/html/initializeCluster.php URL. You get a page enter cluster name. If you enter a cluster name  existing install is wiped out. We need to disable this URL on an installed cluster.Only way to enable this should be uninstall.
ns,Boldify/Redify restart HMC message when nagios/ganglia is on the hmc host
ns,nagios shows service status critical if hbase is not installed
ns,Alerts that are being shown needs to be changed to be compatible with current implementation of showing errors. A link now appears to 'Show the duplicate nodes' which shows the duplicate nodes.
ns,Fix hive stop to escape $.
ns,Post-Install Add Nodes - update progress title and success/error messages to reflect what it's actually doing/has done
ns,Add missing JS file for making post cluster install Add Nodes work
ns,Show the same welcome page to the user if the user starts configuring a cluster but has not started deploy yet
ns,Adding slave nodes post cluster install will install MySQL Server if Hive was selected as a service at the time of cluster installation.
ns,We need to block users from being able to start/stop services when we have a batch of start/stop activities are already in progress.Do something similar to deployment progress display and bring the user back to that modal status display which will end when we detect success/failure.
ns,Some service config parameters are editable (can be customized on initial install)  but cannot be reconfigured post cluster install.This info is stored in ConfigProperties table  but the Service Reconfiguration screens are allowing these non-reconfigurable parameters to be changed.
ns,make support for os check a bit more robust
ns,Add rack_info as column in Hosts table
s,Fix node assignments not not allow slaves on master.
ns,Speed up page load/reload times
ns,Just like for Manage Services + Deploy + Uninstall.
ns,Modify the router to force redirection to 'Add Nodes Progress' popup
ns,Fix puppet manifests for tarball downloads via rpms.
ns,update to fix the ganglia monitor_and_server anchor problem
ns,Oozie smoke test failing with 'Error: E0301 : E0301: Invalid resource &#91;usr/lib/oozie/conf&#93;'
ns,Simplify user input.
ns,Simplify process for users that want to use different dependencies for PHP and Ruby.e.g PHP-5.3  ruby-1.8.7
ns,Rpm naming needs to be corrected.
ns,From Arpit:The configs for pig in templeton are wrong.The deployed configs are&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;They are missing the pig tar ball. For example they should be&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/pig.tar.gz&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;pig.tar.gz/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;So both the properties are missing 'pig-0.9.2.tar.gz'
ns,mkdir -p /usr/jdk32 ; chmod +x /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin; cd /usr/jdk32 ; echo A | /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin -noregister 2&gt;&amp;1Unpacking...Checksumming...Extracting.../var/www/html/downloads/jdk-6u31-linux-i586.bin: ./install.sfx.1794: /lib/ld-linux.so.2: bad ELF interpreter: No such file or directoryFailed to extract the files. Please refer to the Troubleshooting section ofthe Installation Instructions on the download page for more information.Puppet should ensure glibc.i686 is installed before trying to install jdk.
ns,hmc/php/frontend/addNodes/verifyAndUpdateNodesInfo.php hardcodes checks to only allow rhel5 or centos5 nodes.
ns,hmc/ShellScripts/puppet_agent_install.sh hardcodes to epel-release rpm for CentOS-5.4. Should be more intelligent to handle different OS types.
ns,Add support to jump to a specified state in the wizard for development purposes
ns,We need to fix the README to point to trunk after the merge of ambari-186 branch.
ns,Currently YUI 3.5.1 source files are in SVN.We don't really need to have them checked into SVN as we don't track changes. We are pre-concatenating and minifying the YUI js files  so we don't need the files to run Ambari anyhow.We should just remove them from SVN and instead just checkin the tarball.
ns,Modify pom.xml to create output files under ../site  rather than ./target.Make minor wording modifications.
ns,Puppet layer  when trying to install nagios  tries to install php-pecl-json when it is not needed and fails when trying to do so. On RHEL6  php-5.3 is default which has the json module built into it.
ns,Consolidate head tags for organization and combine CSS files for faster load
ns,Seems like a typo: $zookeeper_hosts = hdp_default('zookeeper_hosts')Should be $public_zookeeper_hosts
ns,In Custom config for Nagios: emails with multiple periods before the '@' fails validation
s,Currently the button looks disabled when there are client-side validation errors  but it is clickable. This is a problem because there is no server-side validation to make sure that the passwords match.
ns,special characters in hosts files created on some common windows editors causes issues
ns,Adding apache license to all the files within Ambari for rat tool compliance.
ns,The master role assignment page (Step 5 of install) and the cluster topology summary page are referencing the manager service name as 'HMC Server'. This needs to be changed to 'Ambari' server.The post-install success message on a single-node install has the same issue.Currently  the Help link in the top nav launches a new tab and loads the page that the user is on. Instead  load the Help page on Ambari project website (for now  we'll point it to the Install Guide as a placeholder).
s,Some PHP files have the HTML-style comments. This is problematic sincethe license headers are becoming part of the HTML response. Worse yet  the headers are repeated multiple times in the response. This can also cause unexpected behavior.
ns,This is so that stuff with different compatible licenses can be attributed appropriately.
ns,Remove /usr/bin/php dependency from the rpm's
ns,Fix lzo installs to work correctly on RHEL6
ns,Increase puppet timeouts to handle single-node installs timing out
ns,The database set up script has a duplicate definition of AmbariConfig so install fails
ns,ConfigProperties table has a column named 'display_type'.There's also a JSON-encoded 'display_attributes' column.The 'display_attributes' column has the attributes 'isPassword'  'displayType'  and 'noDisplay'. This is duplicate information is already stored by the 'display_type' column so these attributes are not needed.Upon inspecting the code  these attributes are not used so changing them have no effect. We should simply get rid of these attributes.
s,Suse environment has wrong configuration location for hdp-dashboard and hdp-nagios. Also  owner:group permissions were wrongly set to root:root instead of 'wwwrun' and group is 'www
ns,Fix invalid HTML markup on Monitoring Dashboard
ns,Add Nodes Progress: for partial failure that lets the user continue  display an orange bar rather than a red bar in the progress popup
s,Support for Hadoop Security (front-end changes)
s,Issue 1. Going back and forth between different stages in the Cluster Install Wizard  it is possible to get into a state where Custom Config form has the submit button disabled but no field errors are shown.Steps to replicate: Go up to Stage 6  but do not submit the form Go back to Stage 3 Go up to Stage 6 again. No field errors are shown when they should be.Issue 2. Custom Config stage is skipped once you get to 'Review and Deploy' and go back to a stage preceding Custom Config.Steps to replicate: Go thru the Cluster Install Wizard up to Stage 7 ('Review and Deploy')  but do not submit the form. Go back to Stage 4 or 5. Once you submit the form on Stage 5  Stage 6 is skipped and goes directly to Stage 7. If you go back to Stage 3 or earlier  then Stage 6 will not be skipped.
ns,Depending on which main hadoop repo is used to setup the cluster  sometimes  wrong packages may be pulled from add-on repos even if the main repo has a higher priority and has the same package. This can create problems by incompatible dependencies getting installed at times.
ns,Make puppet generate more logs on command failures
ns,Fix ambari agent init.d scripts and the bootstrapping.
ns,Ambari treats a Hive Metastore as something that it still needs to install and setup even though it may not have the necessary permissions to do so.
ns,Alerts should have text like :OK for about 17 hoursWARN for about 17 hoursCRIT for about 17 hours
ns,Sometimes disk capacity calculations end up in negative numbers.
ns,ambari-web/node_modules  ambari-web/public  ambari-web/ambari.iml were not meant to be checked in. Must remove.
ns,dashboard > Summary > capacity pie chart keeps changing colors
ns,Currently we dont fill anything which is ambiguous.
ns,When you switch services in the UI  sometimes alerts are mismatched compared to selected service. Also the highlights in left-bar are not working.
ns,Currently  if any errors are encountered during preparation for deploy  the user is taken to the deploy page and the hosts will be shown as 'Waiting' but nothing happens. This is bad UX.At a minimum  we should prevent the user from proceeding and display an appropriate error message if any error is encountered after 'Deploy' is clicked  but before we transition to Step 9.We should also think about how a user can recover from this situation.At this point  the deploy has not initiated  but certain API calls may have succeeded  so we may have incomplete info in the database. Currently there's no convenient way to 'rollback'.We can either ask the user to clean the slate by reinitializing the database and try again (should succeed if the original problem was temporary).We can also build more logic in the UI to retry  check if records already exist  etc...
ns,Need to be able to reliably recover from the case when the browser is closed during deploy (Step 8 post submission  Step 9) of the wizard.Even after submitting  Step 10  its taking to Step 9 after browser restart. Ideally it should take to monitoring page.
ns,User-specified custom configs (such as hdfs-site.xml overrides) should be persisted to maintain what the user specified
ns,With the install wizard went to assign slaves page successfully  returned back to Welcome page  reentered data and then the UI got stuck at Confirm hosts page.
ns,When datanode is stopped on a host  its status keeps jumping.
ns,When cluster is started after install  it has disk_total of null which results in Infinity.
ns,Leave a page with graphs open for several minutes.The graphs become really coarse.It probably has something to do with the fact that Ganglia only provides 6-minute averages beyond the first 61 minutes (first 61 minutes  Ganglia keeps 15-second samples) and we may not be exactly querying for the last 60 minutes.
ns,1) Cause notification to occur (for example  stop oozie)2) On dashboard  click notification icon3) On the notification popup  click 'go to nagios web UI'4) nothing happens.This issue is on IE9  Safari and Chrome. Works fine on Firefox.
ns,I saw this on a sles cluster. On EC2 they have a tmpfs mounted and Ambari picked it up.Not sure what the ideal solution is but i feel tmpfs should not be included in the available mount points.Also the tmpfs is being used in various directories that will have to change during the install.Attached screenshots.
ns,Installer Wizard - Retry feature in Deploy step (Step 9) is broken
s,Reconfigure fails silently; it's not firing any API calls due to a JS error
ns,Host jams in status 'Preparing' if host name is wrong
ns,The check boxes to check/uncheck one of the members in a multi artifact graphs is not very readable. It should be more apparent on which one the user clicked on
ns,Check the log/run dir locations to make sure its an abs path
s,Disk Info Metrics and memory usage sometimes do not show up for an hour or so.
ns,Clean up table header UI for sorting and filter clear 'x' for Hosts table
ns,Clean up table header UI for sorting and filter clear 'x' for Jobs table
ns,After adding hosts  the host count shown in the Dashboard is incorrect
ns,Detailed log view dialogs are not center-aligned
ns,For host-level popup info/logs that appear during the deploy step (Step 9) of the Install and Add Hosts Wizards  the information shown is not automatically updated based on the latest values in the models when the background poller updates the models.Currently  the user needs to close the popup and then re-open to see the updated info.
ns,Remove /hdp as the httpd conf for any of the nagios urls - should replace it with ambarinagios or something else.
ns,Allow capacity scheduler to be attached to host role configs for CS configurability in the API's.
ns,If any service start fails  'warn' the host and 'warn' the overall install.Allow the other start tasks to complete.Allow the user to click next.
ns,Add filters module
ns,Refactor Job Browser User filter
ns,Confirm Hosts page: It looks like hosts disappear if you are on 'Fail' filter and click on 'Retry Failed' button
ns,Drop the 'all' option from Hosts > Component Filter and Jobs > Users Filter
ns,Dashboard - make disk usage pie chart in HDFS summary easier to understand
ns,Replace sudo with su in the ambari setup script since ambari server setup is already run as root.
s,Directory permissions on httpd /var/www/cgi-bin should not be touched by Ambari.
ns,Host health indicator should have a tooltip showing details
ns,Install Options - line up the Target Hosts section with the rest of the page
ns,Use the Ember Handlebars precompiler plugin (ember-precompiler-brunch) that's in the NPM registry so that we can specify a specific plugin version to use in package.json  rather than the current plugin that Ambari Web uses (which is not in the NPM registry - it is retrieved from a git repo and Ambari Web can break if the plugin gets updated).
ns,Fix the host roles live status not go back to INSTALLED if it was in START_FAILED state.
ns,The JMXPropertyProvider contains a map of component names to ports ... JMX_PORTS.put('NAMENODE'  '50070'); JMX_PORTS.put('DATANODE'  '50075'); JMX_PORTS.put('JOBTRACKER'  '50030'); JMX_PORTS.put('TASKTRACKER'  '50060'); JMX_PORTS.put('HBASE_MASTER'  '60010');These ports can change in configuration. Need to create the mapping dynamically.This is required for secure HDP cluster to work.
ns,Service graphs are refreshing with spinners  rather than simply shifting to the left.See the attached movie clip.
ns,&lt;expression&gt; ::= [&lt;operator&gt;] [&lt;whitespace&gt;]* &lt;value&gt; [&lt;duration-unit&gt; | &lt;io-unit&gt;]&lt;operator&gt; ::= '&gt;' | '&lt;' | '='&lt;whitespace&gt; ::= ' '&lt;value&gt; :== int | float&lt;duration-unit&gt; ::= 's' | 'm' | 'h'&lt;io-unit&gt; ::= 'k' | 'kb' | 'm' | 'mb' | 'g' | 'gb'If &lt;operator&gt; is ommitted  '=' is assumed.If &lt;duration-unit&gt; is omitted  's' is assumed.If &lt;io-unit&gt; is omitted  'k' is assumed.&lt;duration-unit&gt; and &lt;io-unit&gt; are case-insensitive.
ns,Agent checks packages as part of host check but doesn't tell which ones are needed or conflicting
ns,Store example Hive Queries somewhere in Ambari that's easily accessible for demo/test purposes
ns,On Confirm Hosts page  add a link to show the Host Checks popup in the success message
s,No error message is shown when the user does not enter the correct 'old password' when editing an user.
ns,Navbar's height should be shrunk to ~40px.
ns,Steps:1. Change state (start/stop operations are preferable) for lot of components so that the number of background operations was approximately 20-30;2. Change size of browser (800-900 px);3. Go to down of page;4. Change state for next component;5. Confirm changing;Result:'Background operations' window was opened  but it 'OK' button is not visible.Expected result:'Background operations' window contains scroll bar for all background operations. 'OK' button is available for using.
ns,Failing build due to url moved on Suse. Looks like centos5 and 6 handle redirection all fine but doesnt look like the maven plugin handles that on SUSE.
ns,Current behavior is to dynamically layout elements as the browser viewport size changes. This causes elements to overlap  go outside the bounding box  positioned in a weird way  etc.Let's set minimum width to be 1024px (or maybe 980px to account for the scrollbar) and make sure that all elements are laid out correctly.Bigger than 1024px should still utilize more screen space as it does today.
ns,I was bootstrapping 4 nodes. One of them got stuck in 'Installing' phase and won't time out even after ~30 minutes.It seems like starting of ambari-agent was hanging.
ns,This happens when a service/host component is running  but stop fails. This leaves the desired_state in the INSTALLED (i.e.  STOPPED) state  while the live state is STARTED.Currently  UI assumes when desired_state==INSTALLED and state==STARTED  it is STARTING. This was a trick to get around the problem of backend live state update lagging and to make UI more responsive.
ns,Current behavior is to dynamically layout elements as the browser viewport size changes. This causes elements to overlap  go outside the bounding box  positioned in a weird way  etc.Let's set minimum width to be 1024px (or maybe 980px to account for the scrollbar) and make sure that all elements are laid out correctly.Bigger than 1024px should still utilize more screen space as it does today.
ns,Properly display Apps page aggregate summary and data table when there are no data to be shown
ns,Remove all text from Apps views  controllers  templates to messages.js
ns,Host health indicator should have a tooltip showing few details (refactoring)
ns,On the jobs page click on Job-X and see the popup with all the job information. Now switch to Services page and come back to the jobs page. Now clicking on Job-X will not launch popup.
ns,Cluster missing hosts after successful install and restart. This bug got introduced due to my patch in AMBARI-1301.
s,Add username validation for Ambari local users
ns,Show validation error when the user specifies target hosts that are already part of the cluster
ns,Refactor Job Browser filter
ns,When we are showing progress for cluster install  it takes a while for any of the host-level or overall progress to show any progress completion percentage (they can get stuck at 0% for several minutes). This is because host-level completion is not displayed until the first install task for the task is complete. Instead  we should advance percentage complete when the tasks changes the status (from PENDING-&gt;QUEUED-&gt;IN_PROGRESS) to better reflect the install progress to the end user.
ns,For manually installed kdc  the kinit path in the puppet script is /usr/kerberos/bin/kinitActual location:root@ip-10-38-13-250 data]# whereis kinitkinit: /usr/bin/kiniterr: /Stage&#91;2&#93;/Hdp-hbase::Hbase::Service_check/Hdp-hadoop::Exec-hadoop&#91;hbase::service_check::test&#93;/Hdp::Exec&#91;/usr/kerberos/bin/kinit -kt /etc/security/keytabs/hdfs.headless.keytab hdfs; hadoop --config /etc/hadoop/conf fs -test -e /apps/hbase/data/usertable&#93;/Exec&#91;/usr/kerberos/bin/kinit -kt /etc/security/keytabs/hdfs.headless.keytab hdfs; hadoop --config /etc/hadoop/conf fs -test -e /apps/hbase/data/usertable&#93;: Failed to call refresh: Could not find command '/usr/kerberos/bin/kinit'
ns,Externalize string resources to messages.js.
ns,Provide consistent ordering of hosts in heatmap
ns,'No alerts' badge on the Host Detail page should be green  not red
ns,App Browser rows colours should alternate from dark grey to light grey and back
ns,When hovering the mouse cursor around Show All  Filtered  the mouse cursor changes to the 'hand' icon as expected. To the right  the cursor turns into a hand even when hovering over areas where there's no link. Hovering over 'Clear filters'  the cursor does not turn into the 'hand'.
s,Since there is the ability to log in to Ambari Web as different users the current user should be indicated
ns,Wrong calculation for the duration filter if we enter just number  without h  m or s to specify the unit. By default we should take seconds as the default unit.
ns,Ambari Agent registration hangs due to Acceptor bug in Jetty for not reading through accepted connections.
s,Validation for username used in service configs is broken
ns,Failure popup shown for reconfiguring HDFS when MapReduce is not installed
ns,Remove hard-coded stack version
ns,Cannot proceed after bootstrapping in some cases due to a run-time error while running host checks
ns,Every 15 seconds  Ambari Web makes a call to retrieve information about all hosts in the cluster. With 400+ nodes  this call retrieves about 10MB of info  since the API returns last_agent_env  which is host check results used during bootstrap and makes the payload huge.By optimizing the query string for this API call  we can cut down on the payload by more than 90%.
ns,The API response for getting service/host component status back from the server is unnecessarily big due to nagios_alerts being included as part of the response. This optimization can cut the payload in half or more  and also eases load on the server since it does not have to get Nagios alerts as part of fulfilling the API call.
ns,Invocation count and exec time for ClustersImpl.mapHostToCluser very highorg.apache.ambari.server.state.cluster.ClustersImpl.mapHostToCluster(String  String) Time(ms): 252 925 Avg Time(ms): 5 269 Own Time(ms): 211Invocation Count: 48Each time host is mapped to cluster we refresh the entity manager. This results in the createHosts call taking excess of 10 minutes
ns,Optimize ganglia rrd script to be able to respond within reasonable time to queries made by the UI.
ns,Further work on optimizing query for getting host information on top of BUG-1460.
ns,Fix TestHostName to take care of issues when gethostname and getfqdn do not match.
ns,Fix alerts at host level if MapReduce is not selected not to alert for tasktrackers not running.
ns,Nagios script causes unwanted Datanode logs.
ns,Add hadoop-lzo to be one of the rpms to check for before installation.
ns,Make all service properties reconfigurable.
ns,Fix start up option for ambari-server where there is a missing space.
ns,This is due to performance enhancements for querying hosts.Hosts/disk_info for the hosts being added is expected in the Add Hosts wizard  but it is now missing.
ns,Show the host status filter at the top of the Hosts table  showing the status and the number of hosts in that status.
ns,The background polling to update the live status of services and host components runs every 6 seconds. When this happens  the whole UI freezes for several seconds periodically.
ns,Alerts take around 20-30 seconds to show up everytime you refresh the dashboard.
ns,1.Use Bootstrap-style tooltip for the hover tooltip on the host status dots as well as the disk usage bars. The current tooltip does not show up unless you rest your mouse cursor for more than a second - users will simply assume there's no tooltip hover when quickly moving the mouse cursor over them.2.We can kill some space between the status dots and the hostnames in the table as well.3.Also  there is too much margin at the top compared to the rest of the pages.
ns,Currently  the popup for any wizard resizes to fill up the width of the browser width with some horizontal margin. Vertically  it resizes to fit the height of the content; in some cases  it looks really silly on a wide screen.We should specify the max width of the wizard popup. Ambari Web supports two width configurations (wide and narrow)  so the wizard popup should look good in these two configurations.
ns,See the attachments  but after running both successful and failed MapReduce jobs  the jobs submitted count includes all jobs  the jobs successful appears correct  but the jobs failed count is still 0.
ns,Stack Upgrade Wizard - resume upon page refresh / login
ns,This is for the popup that shows up upon clicking already-performed or currently-in-progress async operations.We should take what we already have for host-level popup in Step 9 as a base and make it reusable  with a new higher level showing all hosts.
ns,Cannot start hadoop services after several restarts since the agents.
s,Templeton start fails due to multiple errors.[0;36mnotice: /Stage&#91;2&#93;/Hdp-templeton::Copy-hdfs-directories/Hdp-hadoop::Hdfs::Copyfromlocal&#91;/usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar&#93;/Hdp-hadoop::Exec-hadoop&#91;fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/Hdp::Exec&#91;/usr/bin/kinit -kt /etc/security/keytabs/hcat.headless.keytab hcat; hadoop --config /etc/hadoop/conf fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/Exec&#91;/usr/bin/kinit -kt /etc/security/keytabs/hcat.headless.keytab hcat; hadoop --config /etc/hadoop/conf fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/returns: kinit: Client not found in Kerberos database while getting initial credentials^[[0m
ns,Config/Reconfig UI should not allow certain configs to have host-level overrides
ns,Security Wizard - integrate host progress popup
